Organization Name,Partner Type,County,City,Industry Sector,Entrepreneur Demographic Group,Business Stage,Reporting Month,Businesses Supported,New Businesses Started,Jobs Created,Jobs Retained,Capital Raised,Grants Awarded,Loans Facilitated,Referrals Made,Programs Delivered,Entrepreneurs Served,Mentor Hours,Data Completeness Score,Data Source,Last Updated Date
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Construction,Minority-Owned,Idea,2025-08,19,3,17,22,219096,59308,42855,10,3,26,91,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Food & Beverage,Women-Owned,Established,2025-08,26,3,8,6,184606,44866,61247,17,1,38,66,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Retail,Women-Owned,Idea,2025-08,19,3,17,19,348394,38744,119817,16,1,31,111,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Manufacturing,Youth (Under 30),Startup,2025-08,29,5,20,28,495047,52822,131290,14,3,39,101,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Manufacturing,Immigrant-Founded,Startup,2025-08,19,2,11,9,582922,81460,216776,18,2,31,66,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Other,Startup,2025-08,24,3,8,11,234064,51316,56842,12,1,42,145,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Minority-Owned,Established,2025-08,27,5,24,20,250330,36682,98985,17,4,35,121,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Professional Services,Other,Established,2025-09,62,11,32,26,871280,185879,249103,49,2,97,277,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Other,Early Growth,2025-09,78,9,30,34,918660,184826,306294,56,2,103,271,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Technology,Youth (Under 30),Early Growth,2025-09,27,4,15,16,356172,58597,110493,16,2,37,106,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Manufacturing,Women-Owned,Idea,2025-09,86,8,24,22,633542,142416,188526,44,2,145,358,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Technology,Minority-Owned,Scaling,2025-09,78,13,59,86,1293216,359625,459746,44,4,100,240,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Technology,Other,Early Growth,2025-09,23,2,8,9,354877,82109,103803,10,1,31,76,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Healthcare,Youth (Under 30),Scaling,2025-09,34,4,17,22,288498,48324,54683,27,1,48,93,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Logistics,Other,Early Growth,2025-09,1,0,0,0,0,0,0,0,1,2,5,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Professional Services,Other,Established,2025-09,22,2,8,7,114371,18640,39215,22,1,40,158,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Food & Beverage,Other,Scaling,2025-09,5,0,1,0,0,0,0,4,2,10,20,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Retail,Other,Early Growth,2025-09,26,4,15,22,344410,39846,56476,16,2,35,116,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Professional Services,Minority-Owned,Established,2025-09,20,2,14,17,412049,44598,117426,8,3,27,66,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Healthcare,Minority-Owned,Startup,2025-09,27,5,27,34,259204,43347,69716,11,2,34,117,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Technology,Youth (Under 30),Early Growth,2025-09,31,3,12,14,267839,66192,56664,19,2,43,85,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Manufacturing,Minority-Owned,Established,2025-09,18,3,19,20,193156,57469,58730,13,2,33,51,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Logistics,Youth (Under 30),Established,2025-09,40,5,25,37,570691,156226,202614,22,1,67,259,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Technology,Minority-Owned,Idea,2025-09,18,3,14,17,358152,85603,113557,15,2,30,91,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Construction,Youth (Under 30),Scaling,2025-09,42,8,32,26,1579643,427161,497627,33,1,68,168,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Women-Owned,Established,2025-09,42,4,18,26,306555,87450,47630,24,1,54,148,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Retail,Other,Early Growth,2025-09,13,1,9,11,104951,23630,38797,8,5,23,63,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Technology,Other,Early Growth,2025-10,67,7,33,40,513706,110230,131825,52,3,104,334,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Food & Beverage,Other,Early Growth,2025-10,49,8,34,32,902120,167805,340325,23,3,70,262,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Healthcare,Rural,Scaling,2025-10,30,6,16,16,662463,121103,167479,24,3,44,150,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Logistics,Other,Early Growth,2025-10,57,5,27,34,292364,30761,49663,47,2,98,293,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Logistics,Women-Owned,Scaling,2025-10,35,5,20,18,570174,165373,117249,21,3,59,231,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Retail,Other,Idea,2025-10,53,9,44,65,2552670,676114,842509,45,2,81,278,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Construction,Youth (Under 30),Scaling,2025-10,29,5,18,20,407481,72988,136014,21,1,39,155,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Veteran-Owned,Idea,2025-10,25,4,17,15,449176,86563,139929,12,3,33,106,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Other,Idea,2025-10,36,5,22,23,558317,154380,96334,14,2,47,175,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Professional Services,Rural,Startup,2025-10,15,2,8,9,231960,40763,56865,11,3,27,75,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Healthcare,Other,Scaling,2025-10,28,3,11,9,189307,25772,70921,18,4,48,187,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Retail,Women-Owned,Early Growth,2025-10,51,10,39,46,2411200,531050,365642,28,2,77,202,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Creative / Media,Minority-Owned,Scaling,2025-10,17,1,5,4,66488,7815,11783,9,2,30,90,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Healthcare,Women-Owned,Early Growth,2025-10,15,2,5,5,127887,22215,31298,10,3,22,38,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Manufacturing,Other,Scaling,2025-10,36,7,25,28,599965,177511,169332,22,1,63,103,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Manufacturing,Immigrant-Founded,Scaling,2025-10,49,8,22,26,680085,138697,209441,47,2,80,145,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Logistics,Other,Scaling,2025-10,20,2,12,17,146341,15965,34743,18,1,35,106,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Retail,Women-Owned,Startup,2025-10,30,4,15,21,1094575,319640,391869,18,1,54,134,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Minority-Owned,Early Growth,2025-10,46,4,11,10,307990,80950,117636,30,3,69,258,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Technology,Other,Early Growth,2025-10,11,1,5,5,51944,13928,12195,9,4,16,26,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Construction,Youth (Under 30),Startup,2025-11,51,10,41,55,797643,117675,209761,29,1,74,187,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Food & Beverage,Minority-Owned,Early Growth,2025-11,52,6,19,22,403255,79317,148587,50,3,94,177,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Food & Beverage,Other,Startup,2025-11,29,4,20,19,197067,31963,31729,11,2,37,135,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Manufacturing,Minority-Owned,Idea,2025-11,91,9,42,55,743238,189196,236186,45,1,124,274,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Food & Beverage,Women-Owned,Early Growth,2025-11,110,12,49,60,1031119,138432,234934,61,5,160,561,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Professional Services,Youth (Under 30),Idea,2025-11,53,5,17,19,1710303,410255,520066,26,2,75,223,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Food & Beverage,Minority-Owned,Startup,2025-11,34,7,26,30,542234,103630,174121,16,3,50,189,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Logistics,Immigrant-Founded,Startup,2025-11,25,3,16,24,237001,26798,42238,16,3,42,97,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Logistics,Immigrant-Founded,Startup,2025-11,26,4,18,24,256677,49332,76395,12,2,38,63,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Retail,Youth (Under 30),Scaling,2025-11,18,2,14,16,191061,25720,60643,19,2,33,77,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Logistics,Women-Owned,Scaling,2025-11,16,1,9,7,70312,13982,22151,7,4,22,75,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Manufacturing,Minority-Owned,Startup,2025-11,60,6,13,11,1068543,252500,244856,39,2,85,250,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Food & Beverage,Other,Established,2025-11,19,3,8,9,336258,98718,50509,13,3,24,39,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Other,Early Growth,2025-11,22,3,15,19,170691,22989,31538,20,2,40,103,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Creative / Media,Veteran-Owned,Early Growth,2025-11,41,7,18,15,524571,156344,89788,15,3,52,141,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Construction,Other,Scaling,2025-11,40,6,26,28,479115,117949,157165,22,2,61,92,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Food & Beverage,Veteran-Owned,Scaling,2025-11,17,2,9,11,164225,44647,55449,18,1,32,106,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Food & Beverage,Immigrant-Founded,Idea,2025-11,21,3,14,18,854814,239960,242560,17,2,35,103,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Technology,Immigrant-Founded,Scaling,2025-11,44,6,28,28,385954,99191,83022,24,3,70,209,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Logistics,Youth (Under 30),Scaling,2025-11,38,6,23,19,303618,47423,110658,23,4,51,111,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Technology,Other,Scaling,2025-12,69,10,47,47,1089611,183675,186432,60,2,118,412,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Healthcare,Youth (Under 30),Startup,2025-12,67,9,32,44,399114,61016,141638,36,2,104,374,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Technology,Women-Owned,Established,2025-12,18,3,12,16,224336,35390,78366,10,1,24,67,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Construction,Rural,Scaling,2025-12,66,11,51,58,675037,80771,211682,48,3,85,198,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Construction,Immigrant-Founded,Startup,2025-12,58,8,29,27,327655,39167,57659,45,4,98,350,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Logistics,Minority-Owned,Early Growth,2025-12,42,4,18,27,1492782,175069,449583,22,2,61,110,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Construction,Rural,Scaling,2025-12,34,4,13,17,406194,96854,128720,19,2,59,235,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Professional Services,Minority-Owned,Idea,2025-12,18,3,12,17,168160,30021,52360,10,1,29,114,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Women-Owned,Established,2025-12,34,6,21,18,670325,86988,207856,20,1,44,115,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Technology,Rural,Early Growth,2025-12,20,2,13,18,209964,23940,43349,14,2,32,106,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Construction,Other,Established,2025-12,34,4,17,14,433069,72761,156032,25,4,43,103,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Food & Beverage,Rural,Startup,2025-12,10,1,4,3,240123,33111,38161,7,2,15,55,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Technology,Other,Scaling,2025-12,20,3,16,25,201428,33747,66522,15,3,28,43,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Construction,Women-Owned,Scaling,2025-12,14,1,8,12,77697,22035,12544,5,1,19,59,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Healthcare,Women-Owned,Idea,2025-12,40,6,25,21,535501,60309,107453,38,1,70,209,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Professional Services,Other,Established,2025-12,19,2,19,27,99319,12737,25206,14,2,28,65,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Professional Services,Youth (Under 30),Established,2025-12,20,3,18,19,121733,34721,39768,12,3,35,59,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Food & Beverage,Veteran-Owned,Established,2025-12,39,6,20,31,1535827,445481,471188,26,1,55,107,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Minority-Owned,Idea,2025-12,34,7,28,41,630819,89337,102992,25,2,43,114,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Other,Established,2025-12,17,1,6,5,76251,9217,12437,8,3,22,81,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Creative / Media,Women-Owned,Idea,2026-01,64,11,42,44,1125498,185962,196417,30,3,84,194,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Construction,Other,Established,2026-01,61,6,21,20,459715,63822,110169,42,1,89,216,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Food & Beverage,Minority-Owned,Startup,2026-01,30,3,14,15,157629,40812,61190,25,1,49,109,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Healthcare,Youth (Under 30),Scaling,2026-01,71,11,52,66,1087837,162447,252186,51,1,94,312,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Retail,Other,Scaling,2026-01,127,19,41,65,1359366,356076,440656,85,3,164,420,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Manufacturing,Veteran-Owned,Startup,2026-01,62,9,29,31,2693458,356507,713283,31,3,86,132,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Technology,Other,Established,2026-01,39,7,18,21,780323,129987,123430,29,3,60,100,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Construction,Other,Scaling,2026-01,10,1,6,8,111038,13568,26804,4,3,14,44,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Technology,Minority-Owned,Startup,2026-01,20,3,7,7,300546,82417,97891,13,2,29,96,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Retail,Minority-Owned,Early Growth,2026-01,10,1,7,8,106030,29676,27885,10,2,19,53,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Professional Services,Other,Idea,2026-01,24,3,17,26,155508,20231,31267,13,2,42,74,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Minority-Owned,Scaling,2026-01,48,9,21,19,2349205,392729,692254,22,3,74,265,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Professional Services,Immigrant-Founded,Scaling,2026-01,20,2,9,8,203159,22238,48408,12,2,33,129,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Logistics,Other,Scaling,2026-01,29,6,26,35,259752,42424,47175,23,1,47,98,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Food & Beverage,Minority-Owned,Startup,2026-01,27,3,12,14,217094,43393,40454,15,1,44,167,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Logistics,Other,Startup,2026-01,52,7,30,35,601287,77816,175159,25,3,66,260,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Logistics,Minority-Owned,Idea,2026-01,18,2,3,3,88805,20270,26273,17,2,31,53,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Retail,Other,Early Growth,2026-01,46,8,40,63,2071666,230388,656079,25,2,61,183,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Construction,Women-Owned,Established,2026-01,26,3,19,28,358223,93402,79582,13,3,42,109,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Construction,Other,Established,2026-01,19,2,13,19,200978,23653,50719,20,1,34,132,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Food & Beverage,Veteran-Owned,Scaling,2026-02,48,5,25,25,434083,86304,145402,27,3,62,139,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Retail,Women-Owned,Idea,2026-02,66,11,31,41,1007411,106471,343708,35,1,93,350,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Logistics,Other,Idea,2026-02,18,2,7,9,197273,20419,42390,15,3,27,65,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Technology,Women-Owned,Established,2026-02,57,7,24,36,804337,163098,274770,39,1,97,273,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Healthcare,Other,Scaling,2026-02,77,15,55,57,1296055,343017,198587,51,4,101,175,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Creative / Media,Minority-Owned,Established,2026-02,15,1,10,14,371838,100103,122013,14,2,26,83,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Manufacturing,Veteran-Owned,Idea,2026-02,33,4,19,17,470435,63245,106398,26,3,61,171,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Minority-Owned,Startup,2026-02,15,3,10,14,223499,31126,35357,8,1,26,70,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Creative / Media,Youth (Under 30),Established,2026-02,26,4,21,29,219130,37319,37842,27,1,47,176,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Food & Beverage,Other,Early Growth,2026-02,13,2,15,12,194529,56968,37533,9,3,18,50,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Creative / Media,Women-Owned,Idea,2026-02,40,6,23,21,711024,131410,198064,26,1,53,190,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Construction,Women-Owned,Early Growth,2026-02,36,6,27,33,1203627,264891,274429,19,1,62,110,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Logistics,Minority-Owned,Established,2026-02,13,1,13,15,79331,9601,20587,11,1,23,91,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Women-Owned,Established,2026-02,12,2,15,12,238505,29706,85749,13,2,22,65,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Logistics,Minority-Owned,Scaling,2026-02,21,4,12,16,207159,39552,37402,16,3,28,77,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Logistics,Immigrant-Founded,Startup,2026-02,49,7,19,17,629010,158532,198308,31,1,65,146,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Creative / Media,Other,Established,2026-02,25,3,16,23,223297,63190,54910,17,3,38,60,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Other,Established,2026-02,37,7,23,31,1769519,215662,564045,24,1,54,177,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Rural,Scaling,2026-02,19,2,10,12,125510,14092,37353,13,3,33,112,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Healthcare,Other,Early Growth,2026-02,22,3,9,10,178614,26242,40728,18,3,31,50,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Manufacturing,Other,Idea,2026-03,63,10,23,30,416321,80741,64762,46,2,108,275,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Minority-Owned,Established,2026-03,51,9,27,32,575655,169176,115384,41,3,76,145,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Other,Scaling,2026-03,23,3,18,23,262047,40531,76414,21,3,37,108,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Creative / Media,Immigrant-Founded,Startup,2026-03,61,9,29,38,731065,171297,209735,31,2,81,172,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Technology,Youth (Under 30),Scaling,2026-03,76,16,62,72,1624472,303361,473580,73,3,126,382,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Technology,Immigrant-Founded,Early Growth,2026-03,34,6,29,32,2067405,317112,458470,26,3,47,144,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Healthcare,Minority-Owned,Scaling,2026-03,32,3,18,18,337357,47364,73603,24,3,56,143,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Technology,Minority-Owned,Early Growth,2026-03,19,4,15,12,437494,122548,110139,14,1,26,78,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Professional Services,Rural,Idea,2026-03,16,2,14,16,204018,41834,55923,7,2,22,64,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Manufacturing,Minority-Owned,Idea,2026-03,21,3,13,18,171386,26549,43205,16,1,29,51,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Technology,Immigrant-Founded,Early Growth,2026-03,21,3,10,10,208257,33661,64840,17,2,32,86,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Other,Idea,2026-03,27,4,10,15,1399759,380075,345905,18,3,45,81,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Construction,Other,Early Growth,2026-03,15,2,18,16,183108,47216,40010,9,1,21,74,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Other,Established,2026-03,17,3,17,24,204445,45064,72242,12,3,23,63,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Professional Services,Veteran-Owned,Idea,2026-03,29,4,14,11,195465,29304,64188,17,1,49,144,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Healthcare,Other,Established,2026-03,31,5,14,18,365798,49886,135015,25,3,47,93,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Retail,Women-Owned,Idea,2026-03,32,6,28,26,445873,67786,76808,23,1,46,115,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Women-Owned,Scaling,2026-03,51,10,38,50,3486558,894038,773982,26,3,78,154,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Logistics,Veteran-Owned,Established,2026-03,51,6,22,24,365663,81738,137793,27,1,65,144,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Youth (Under 30),Established,2026-03,26,5,20,19,229222,48457,37369,14,3,34,101,66,Airtable Base,2026-05-22
